Designator,Footprint,Quantity,Value,LCSC Part #
R7,R_0805_2012Metric,1,1K,C17513
D3,LED_0603_1608Metric,1,LED,C72041
R3,R_0805_2012Metric,1,1K,C17513
J7,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
U5,DIP-8_W7.62mm,1,MAX487ESA+T,C9953
U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,MAX487ESA+T,C9953
J28,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J11,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
C4,C0402,1,1uF,C52923
J2,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J15,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,SW_MEC_5E,C318884
J1,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6,C492420
J5,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J36,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
U4,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,ULN2003A,C7512
J21,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J17,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J19,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
R1,R_0805_2012Metric,1,10K,C17414
C6,C0402,1,1uF,C52923
J4,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
C8,C0402,1,10uF,C15525
SW3,SW-SMD_DSHP02TSGER,1,SW_DIP_x02,C367376
RJ1,RJ45-TH_B-1-1,1,RJ45-B-1*1,C138392
J39,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Female,C40877
C9,C0402,1,1uF,C52923
C12,C0402,1,15pF,C1548
J9,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J6,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J20,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J10,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J40,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
C7,CP_Elec_5x5.4,1,47uF,C96178
J30,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J37,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
SW2,SW-SMD_DSHP02TSGER,1,SW_DIP_x02,C367376
C13,C0402,1,100nF,C1525
J33,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J8,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J25,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
R2,R_0805_2012Metric,1,120R,C17437
U3,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
J12,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
C2,C0402,1,1uF,C52923
C14,C0402,1,100nF,C1525
D2,LED_0603_1608Metric,1,LED,C72041
J3,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
U1,TQFP-100_14x14mm_P0.5mm,1,ATmega2560-16A,C22460
J14,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
C1,C0805,1,4.7uF,C1779
C5,C0402,1,1uF,C52923
J32,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J18,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
R4,R_0805_2012Metric,1,1.8K,C17398
J23,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
D1,LED_0603_1608Metric,1,LED,C72041
J31,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J27,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J13,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J16,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
C3,C0402,1,1uF,C52923
J22,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
C10,C0402,1,1uF,C52923
J24,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J29,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J26,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
C11,C0402,1,15pF,C1548
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C13738
J41,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J35,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
J34,CONN-TH_WJ126V-5.0-2P,1,Screw_Terminal_01x02,C557685
R5,R_0805_2012Metric,1,1.8K,C17398
R6,R_0805_2012Metric,1,1K,C17513
